entry_id,business_unit_id,account_code,account_name,amount,posting_user,approving_user,posting_timestamp,entry_type
GL-00000,BU-02,5100,Travel & Entertainment,6518.93,user3@corp.com,manager2@corp.com,2023-04-20 16:54:32,Automated
GL-00001,BU-02,5100,Travel & Entertainment,6720.57,user1@corp.com,manager2@corp.com,2023-10-05 09:16:45,Automated
GL-00002,BU-02,2000,Accounts Payable,2855.32,user3@corp.com,manager1@corp.com,2023-01-31 11:36:27,Automated
GL-00003,BU-02,5100,Travel & Entertainment,8415.77,user3@corp.com,manager1@corp.com,2023-05-15 09:20:30,Automated
GL-00004,BU-03,1000,Cash,6301.38,user2@corp.com,manager1@corp.com,2023-12-25 15:23:38,Automated
GL-00005,BU-05,5200,Office Supplies,8738.89,user1@corp.com,manager2@corp.com,2023-06-21 17:14:39,Automated
GL-00006,BU-02,2000,Accounts Payable,7992.97,user1@corp.com,manager1@corp.com,2023-09-12 13:06:09,Automated
GL-00007,BU-05,5100,Travel & Entertainment,498.3,user3@corp.com,manager2@corp.com,2023-04-10 11:13:51,Automated
GL-00008,BU-01,2000,Accounts Payable,9070.8,user1@corp.com,manager2@corp.com,2023-10-18 10:41:58,Automated
GL-00009,BU-03,2000,Accounts Payable,4696.29,user3@corp.com,manager1@corp.com,2023-07-06 16:20:32,Automated
GL-00010,BU-04,1000,Cash,4835.16,user2@corp.com,manager1@corp.com,2023-03-23 12:30:05,Automated
GL-00011,BU-05,5200,Office Supplies,6023.11,user2@corp.com,manager1@corp.com,2023-03-20 12:24:37,Automated
GL-00012,BU-01,1000,Cash,7796.22,user1@corp.com,manager2@corp.com,2023-11-16 16:04:09,Automated
GL-00013,BU-05,5100,Travel & Entertainment,4976.79,user1@corp.com,manager2@corp.com,2023-07-27 13:54:36,Automated
GL-00014,BU-03,5000,Professional Fees,2715.58,user3@corp.com,manager1@corp.com,2023-04-14 13:08:24,Automated
GL-00015,BU-02,5200,Office Supplies,3157.16,user2@corp.com,manager1@corp.com,2023-12-29 17:24:48,Automated
GL-00016,BU-01,5000,Professional Fees,4758.01,user1@corp.com,manager1@corp.com,2023-08-07 17:23:15,Automated
GL-00017,BU-05,5000,Professional Fees,9260.42,user2@corp.com,manager2@corp.com,2023-09-28 10:47:12,Manual
GL-00018,BU-05,2000,Accounts Payable,7652.24,user1@corp.com,manager2@corp.com,2023-04-14 10:41:44,Automated
GL-00019,BU-05,5200,Office Supplies,1118.88,user2@corp.com,manager1@corp.com,2023-02-23 16:28:36,Automated
GL-00020,BU-02,5000,Professional Fees,1999.85,user2@corp.com,manager1@corp.com,2023-02-10 11:03:55,Automated
GL-00021,BU-03,2000,Accounts Payable,9571.4,user2@corp.com,manager2@corp.com,2023-08-28 14:31:33,Automated
GL-00022,BU-02,5000,Professional Fees,9349.87,user2@corp.com,manager2@corp.com,2023-10-13 16:36:15,Automated
GL-00023,BU-04,5000,Professional Fees,4552.11,user2@corp.com,manager2@corp.com,2023-08-16 14:39:24,Automated
GL-00024,BU-04,5100,Travel & Entertainment,9689.93,user2@corp.com,manager1@corp.com,2023-04-03 09:16:13,Automated
GL-00025,BU-03,1000,Cash,2165.23,user3@corp.com,manager2@corp.com,2023-04-05 12:52:21,Manual
GL-00026,BU-05,1000,Cash,4332.23,user2@corp.com,manager2@corp.com,2023-01-20 14:10:05,Automated
GL-00027,BU-01,2000,Accounts Payable,6213.8,user2@corp.com,manager2@corp.com,2023-09-18 12:18:18,Automated
GL-00028,BU-01,2000,Accounts Payable,7256.21,user3@corp.com,manager2@corp.com,2023-12-18 14:55:41,Automated
GL-00029,BU-01,5100,Travel & Entertainment,2573.48,user3@corp.com,manager2@corp.com,2023-07-26 16:39:55,Automated
GL-00030,BU-01,5000,Professional Fees,5425.17,user2@corp.com,manager2@corp.com,2023-03-29 13:24:43,Automated
GL-00031,BU-02,1000,Cash,9774.07,user3@corp.com,manager2@corp.com,2023-09-05 14:04:27,Manual
GL-00032,BU-04,5200,Office Supplies,5783.47,user3@corp.com,manager1@corp.com,2023-03-30 13:11:38,Automated
GL-00033,BU-01,5200,Office Supplies,7651.59,user2@corp.com,manager2@corp.com,2023-01-19 17:15:09,Automated
GL-00034,BU-02,1000,Cash,9576.28,user2@corp.com,manager2@corp.com,2023-02-08 14:54:45,Automated
