invoice_id,vendor_id,vendor_name,business_unit_id,po_number,grn_number,invoice_amount,invoice_date,due_date,payment_status,currency
INV-00000,VEND-062,Wright and Sons,BU-04,PO-71644,GRN-12540,41828.09,2023-10-21,2023-11-20,Paid,USD
INV-00001,VEND-011,Dudley Group,BU-01,PO-55870,GRN-39389,49995.44,2023-12-13,2024-01-12,Paid,USD
INV-00002,VEND-008,Garcia-James,BU-01,PO-42411,GRN-36130,37834.54,2023-06-21,2023-07-21,Pending,USD
INV-00003,VEND-037,"Baker, Mason and White",BU-02,PO-72070,GRN-97747,12307.97,2023-08-26,2023-09-25,Paid,USD
INV-00004,VEND-053,"Robinson, Jones and Welch",BU-01,PO-43586,GRN-58351,23519.18,2023-11-13,2023-12-13,Paid,USD
INV-00005,VEND-027,"Hoffman, Baker and Richards",BU-05,PO-31465,GRN-50768,39000.7,2023-10-07,2023-11-06,Paid,USD
INV-00006,VEND-004,"Guzman, Hoffman and Baldwin",BU-01,PO-85470,GRN-98781,46479.91,2023-12-13,2024-01-12,Overdue,USD
INV-00007,VEND-094,Campbell-Clark,BU-02,PO-35995,GRN-19961,20134.39,2023-07-16,2023-08-15,Paid,USD
INV-00008,VEND-060,"Brown, Valdez and Lucas",BU-04,PO-49529,GRN-99687,5544.11,2023-06-15,2023-07-15,Paid,USD
INV-00009,VEND-028,"Ross, Robinson and Bright",BU-04,PO-84177,GRN-15383,39913.25,2023-11-19,2023-12-19,Paid,USD
INV-00010,VEND-107,Dickson-Brady,BU-05,PO-19038,GRN-76317,33245.31,2023-12-19,2024-01-18,Paid,USD
INV-00011,VEND-001,Doyle Ltd,BU-02,PO-74251,GRN-23833,42553.99,2023-08-01,2023-08-31,Paid,USD
INV-00012,VEND-090,"Turner, Riggs and Roman",BU-03,PO-70258,GRN-30052,31961.46,2023-06-23,2023-07-23,Paid,USD
INV-00013,VEND-131,Spencer-Lee,BU-04,PO-45400,GRN-90728,48290.95,2023-12-15,2024-01-14,Pending,USD
INV-00014,VEND-135,"Lawson, Morris and Ramos",BU-01,PO-70931,GRN-67091,38844.75,2023-03-03,2023-04-02,Pending,USD
INV-00015,VEND-149,"Schmidt, Hansen and Stewart",BU-03,PO-42177,GRN-21359,13785.58,2023-10-16,2023-11-15,Paid,USD
INV-00016,VEND-113,Gonzalez Group,BU-02,PO-70910,GRN-84691,12571.24,2023-12-01,2023-12-31,Paid,USD
INV-00017,VEND-095,Harris-Walters,BU-02,PO-74789,GRN-52600,17151.63,2023-07-04,2023-08-03,Paid,USD
INV-00018,VEND-052,Chapman and Sons,BU-01,PO-43862,GRN-54608,18063.84,2023-06-24,2023-07-24,Paid,USD
INV-00019,VEND-068,Russell Group,BU-02,PO-77715,GRN-35042,28011.66,2023-04-11,2023-05-11,Paid,USD
INV-00020,VEND-102,"Mckee, Gardner and Davenport",BU-02,PO-41499,GRN-72402,24684.6,2023-10-19,2023-11-18,Paid,USD
INV-00021,VEND-123,"Joyce, Wilson and Lam",BU-02,PO-12260,GRN-22196,22684.64,2023-04-07,2023-05-07,Paid,USD
INV-00022,VEND-101,"Patterson, Smith and Jones",BU-03,PO-50135,GRN-97026,34743.46,2023-11-23,2023-12-23,Paid,USD
INV-00023,VEND-119,"Rivera, Johnson and Wiley",BU-03,PO-55056,GRN-65771,27896.91,2023-09-05,2023-10-05,Overdue,USD
INV-00024,VEND-138,"Harvey, Davis and Crane",BU-02,PO-69473,GRN-45509,16874.17,2023-04-18,2023-05-18,Paid,USD
INV-00025,VEND-057,"Johnston, Sanchez and Kennedy",BU-01,PO-35242,GRN-51359,6472.47,2023-10-25,2023-11-24,Paid,USD
INV-00026,VEND-135,"Lawson, Morris and Ramos",BU-01,PO-34267,GRN-35105,47568.44,2023-10-30,2023-11-29,Paid,USD
INV-00027,VEND-121,Johnson-Carlson,BU-01,PO-87278,GRN-78765,14186.73,2023-07-22,2023-08-21,Paid,USD
INV-00028,VEND-023,Morales-Jones,BU-05,PO-48829,GRN-39816,41715.1,2023-07-08,2023-08-07,Paid,USD
INV-00029,VEND-075,"Daniels, Adkins and Brown",BU-03,PO-80010,GRN-26591,1200.34,2023-09-01,2023-10-01,Paid,USD
INV-00030,VEND-011,Dudley Group,BU-01,PO-26551,GRN-93606,27891.27,2023-04-03,2023-05-03,Pending,USD
INV-00031,VEND-123,"Joyce, Wilson and Lam",BU-02,PO-11607,GRN-85243,5578.09,2023-04-17,2023-05-17,Paid,USD
INV-00032,VEND-120,White-Estes,BU-03,PO-34164,GRN-16734,22303.21,2023-06-20,2023-07-20,Paid,USD
INV-00033,VEND-120,White-Estes,BU-03,PO-18564,GRN-62521,6147.31,2023-01-31,2023-03-02,Paid,USD
INV-00034,VEND-145,Stafford Inc,BU-05,PO-17026,GRN-29887,31657.56,2023-10-05,2023-11-04,Paid,USD
INV-00035,VEND-142,Gibson Ltd,BU-04,PO-21164,GRN-42530,47481.72,2023-04-21,2023-05-21,Paid,USD
INV-00036,VEND-104,Nolan-Flynn,BU-03,PO-91057,GRN-39581,30512.72,2023-04-02,2023-05-02,Paid,USD
INV-00037,VEND-095,Harris-Walters,BU-02,PO-68028,GRN-48974,22800.47,2023-04-16,2023-05-16,Pending,USD
INV-00038,VEND-107,Dickson-Brady,BU-05,PO-91399,GRN-17894,15616.32,2023-05-11,2023-06-10,Paid,USD
INV-00039,VEND-023,Morales-Jones,BU-05,PO-37235,GRN-91987,47405.71,2023-05-05,2023-06-04,Paid,USD
INV-00040,VEND-018,"Adams, Zuniga and Wong",BU-03,PO-32782,GRN-82350,8274.33,2023-12-13,2024-01-12,Paid,USD
INV-00041,VEND-999,Acme Shadow Corp,BU-01,PO-87832,GRN-71592,20721.62,2023-07-29,2023-08-28,Paid,USD
INV-00042,VEND-057,"Johnston, Sanchez and Kennedy",BU-01,PO-47056,GRN-69510,14761.19,2023-02-01,2023-03-03,Paid,USD
INV-00043,VEND-057,"Johnston, Sanchez and Kennedy",BU-01,PO-91927,GRN-87304,46233.6,2023-02-23,2023-03-25,Paid,USD
INV-00044,VEND-048,Hickman Ltd,BU-04,PO-81376,GRN-39466,21544.38,2023-02-28,2023-03-30,Paid,USD
INV-00045,VEND-066,Williams PLC,BU-01,PO-19359,GRN-17816,41418.24,2023-03-31,2023-04-30,Paid,USD
INV-00046,VEND-076,"Woods, Calhoun and Schmidt",BU-02,PO-84607,GRN-47828,29954.68,2023-05-29,2023-06-28,Paid,USD
INV-00047,VEND-117,Rasmussen LLC,BU-05,PO-62757,GRN-45683,34589.56,2023-09-27,2023-10-27,Paid,USD
INV-00048,VEND-124,Scott Ltd,BU-02,PO-88385,GRN-15224,22169.06,2023-03-01,2023-03-31,Pending,USD
INV-00049,VEND-080,"Sanchez, Wheeler and Harvey",BU-05,PO-13390,GRN-21970,30383.83,2023-10-02,2023-11-01,Paid,USD
INV-00050,VEND-145,Stafford Inc,BU-05,PO-12719,GRN-98117,29562.59,2023-03-25,2023-04-24,Pending,USD
INV-00051,VEND-145,Stafford Inc,BU-05,PO-32962,GRN-71669,2491.47,2023-01-25,2023-02-24,Paid,USD
INV-00052,VEND-111,"Shields, Cochran and Adams",BU-03,PO-33788,GRN-86720,45845.6,2023-06-11,2023-07-11,Paid,USD
INV-00053,VEND-123,"Joyce, Wilson and Lam",BU-02,PO-71605,GRN-55607,48468.23,2023-06-08,2023-07-08,Paid,USD
INV-00054,VEND-080,"Sanchez, Wheeler and Harvey",BU-05,PO-31079,GRN-53228,33671.61,2023-05-09,2023-06-08,Paid,USD
INV-00055,VEND-124,Scott Ltd,BU-02,PO-62488,GRN-82102,14766.78,2023-07-30,2023-08-29,Paid,USD
INV-00056,VEND-020,Gray-Mayo,BU-04,PO-52372,GRN-25194,16068.6,2023-06-30,2023-07-30,Overdue,USD
INV-00057,VEND-101,"Patterson, Smith and Jones",BU-03,PO-10150,GRN-96200,43313.07,2023-06-11,2023-07-11,Pending,USD
INV-00058,VEND-116,Ross LLC,BU-04,PO-34586,GRN-77952,20955.75,2023-01-25,2023-02-24,Paid,USD
INV-00059,VEND-125,Smith-Frost,BU-04,PO-16764,GRN-36680,31457.73,2023-03-22,2023-04-21,Paid,USD
INV-00060,VEND-031,Carlson-Cruz,BU-02,PO-67424,GRN-73532,46419.8,2023-11-20,2023-12-20,Paid,USD
INV-00061,VEND-059,Gomez-Jenkins,BU-04,PO-50730,GRN-82199,35634.25,2023-06-13,2023-07-13,Paid,USD
INV-00062,VEND-102,"Mckee, Gardner and Davenport",BU-02,PO-24871,GRN-70482,5113.86,2023-06-01,2023-07-01,Overdue,USD
INV-00063,VEND-037,"Baker, Mason and White",BU-02,PO-48254,GRN-76698,25169.59,2023-12-18,2024-01-17,Paid,USD
INV-00064,VEND-104,Nolan-Flynn,BU-03,PO-71894,GRN-41946,41818.84,2023-10-26,2023-11-25,Paid,USD
